Season,Coach,Wins
71-72,Vivian Stringer,18
72-73,Vivian Stringer,36
73-74,Vivian Stringer,54
74-75,Vivian Stringer,72
75-76,Vivian Stringer,90
76-77,Vivian Stringer,108
77-78,Vivian Stringer,126
78-79,Vivian Stringer,144
79-80,Vivian Stringer,170
80-81,Vivian Stringer,196
81-82,Vivian Stringer,224
82-83,Vivian Stringer,251
83-84,Vivian Stringer,268
84-85,Vivian Stringer,288
85-86,Vivian Stringer,310
86-87,Vivian Stringer,336
87-88,Vivian Stringer,365
88-89,Vivian Stringer,392
89-90,Vivian Stringer,415
90-91,Vivian Stringer,436
91-92,Vivian Stringer,461
92-93,Vivian Stringer,488
93-94,Vivian Stringer,509
94-95,Vivian Stringer,520
95-96,Vivian Stringer,533
96-97,Vivian Stringer,544
97-98,Vivian Stringer,566
98-99,Vivian Stringer,595
99-00,Vivian Stringer,621
00-01,Vivian Stringer,644
01-02,Vivian Stringer,653
02-03,Vivian Stringer,674
03-04,Vivian Stringer,695
04-05,Vivian Stringer,723
05-06,Vivian Stringer,750
06-07,Vivian Stringer,777
07-08,Vivian Stringer,804
08-09,Vivian Stringer,825
09-10,Vivian Stringer,843
10-11,Vivian Stringer,863
11-12,Vivian Stringer,885
12-13,Vivian Stringer,901
13-14,Vivian Stringer,929
14-15,Vivian Stringer,952
15-16,Vivian Stringer,971
16-17,Vivian Stringer,977
71-72,Pat Summitt,0
72-73,Pat Summitt,0
73-74,Pat Summitt,0
74-75,Pat Summitt,16
75-76,Pat Summitt,32
76-77,Pat Summitt,60
77-78,Pat Summitt,87
78-79,Pat Summitt,117
79-80,Pat Summitt,150
80-81,Pat Summitt,175
81-82,Pat Summitt,197
82-83,Pat Summitt,222
83-84,Pat Summitt,245
84-85,Pat Summitt,267
85-86,Pat Summitt,291
86-87,Pat Summitt,319
87-88,Pat Summitt,350
88-89,Pat Summitt,385
89-90,Pat Summitt,412
90-91,Pat Summitt,442
91-92,Pat Summitt,470
